단어,빈도수
학자,20
개울,20
재래시장,20
기사,20
현실,20
장점,20
공유,20
플레이,20
부지,20
저수지,20
경기,20
재건,19
모델링,19
사임당,19
간판,19
발생,19
분수,19
어려움,19
세상,19
풀이,19
자극,19
마차,19
삼척시,19
얘기,19
헬멧,19
비록,19
부근,19
등산로,19
예술가,19
남성,19
젓갈,19
소시지,19
노소,19
스팟,19
우산,19
만석,19
은별,19
도깨비,19
전송,19
정통,19
인정,19
흥분,19
매혹,19
아일랜드,19
사람과,19
흐름,19
평창군,19
화장품,19
막걸리,19
집들이,19
침대,19
벽,19
효율,19
당일치기,19
여행자,19
도의,19
실외,19
몰이,18
술,18
각각,18
골동품,18
소수,18
꿈,18
군대,18
김유정역,18
대가,18
한가지,18
딸,18
금강,18
요정,18
문화재,18
자기,18
리프트,18
선정,18
라운드,18
글,18
청소년,18
천문대,18
미국,18
션,18
독립,18
선장,18
기원,18
스타,18
절반,18
신,18
시야,18
시스템,18
중국어,18
과학,18
설원,18
알프스,18
햇볕,18
실향민,18
금액,18
편입,18
부부,18
핫,18
망상,18
편안함,18
다행,18
남북,18
휴게소,18
전부,18
안도,18
햇빛,18
평가,18
자작나무,18
조심,17
변,17
휠체어,17
나폴리,17
질문,17
구멍,17
인접,17
국보,17
충족,17
유형,17
인쇄,17
인생,17
불리,17
일대,17
박일,17
수온,17
메뉴,17
산맥,17
차도,17
로봇,17
대명,17
기술,17
전병,17
탈수,17
목적지,17
한쪽,17
로컬,17
포기,17
바닐라,17
활용,17
기록,17
보관,17
지리,17
키스,17
구석,17
화면,17
삼촌,17
석,17
갈비,17
덕,17
예정,17
대피소,17
이미지,17
포,17
갈색,17
마운트,17
왕,17
피해,17
통로,17
비행,17
완료,17
간격,17
이외,17
영상,17
직선,17
의류,17
견학,17
후기,17
극장,17
화가,17
장치,17
인사,17
물의,17
명산,17
갈매기,17
해외,17
번화가,17
번호,17
공주,17
부모,17
차이,17
공중,16
양도,16
대상,16
각도,16
안내소,16
해지,16
서지,16
양반,16
한화,16
이별,16
언어,16
현수교,16
상가,16
골,16
확,16
암벽,16
가로수,16
환영,16
동양,16
참으로,16
토지,16
인천,16
마찬가지,16
요청,16
태풍,16
일품,16
진입,16
초등,16
희망,16
축하,16
담,16
엽서,16
포스터,16
행시,16
시험,16
달리기,16
외곽,16
투명,16
스낵,16
시립,16
가방,16
햇살,16
자동,16
단어,16
풍력,16
최악,16
경내,16
점프,16
답변,16
숲속,16
법,16
일장,16
조직,16
청령포,16
급,16
사기,16
가로,16
집의,16
집안,16
여름철,16
정오,16
황지연못,16
애국가,16
반영,16
측면,16
개조,16
운동화,16
근교,16
메타세쿼이아,16
로프웨이,15
인파,15
죽서루,15
잡기,15
목조,15
고등학교,15
저택,15
샹양,15
조끼,15
로드,15
잘못,15
한숨,15
도중,15
인도,15
자연휴양림,15
초등학생,15
에너지,15
기준,15
치즈,15
템플,15
위험,15
비디오,15
테이블,15
비도,15
위생,15
낭비,15
신경,15
월요일,15
내년,15
내면,15
황량,15
아리랑,15
타임,15
에어컨,15
과일,15
타이,15
울타리,15
성,15
북단,15
개선,15
요소,15
성지,15
어르신,15
컨셉,15
어선,15
시각,15
칭찬,15
커버,15
트랙터,15
결혼식,15
거주지,15
이색,15
수산,15
날짜,15
사무실,15
연휴,15
물줄기,15
설,15
수의,15
화강암,15
스님,15
난이도,15
고장,15
스테이,15
대화,15
묵,15
푸드,15
그릇,14
보유,14
건립,14
설악동,14
금속,14
그네,14
장사,14
장난,14
장군,14
번역,14
번지,14
염소,14
개념,14
동부,14
취향,14
어시장,14
풀밭,14
경제,14
야채,14
통,14
조건,14
팔,14
소풍,14
후손,14
구이,14
수건,14
파노라마,14
나무숲,14
정착,14
숭배,14
간직,14
정거장,14
스피드,14
세기,14
국경,14
주니어,14
블록,14
한증막,14
분리,14
둘레길,14
분계선,14
킹,14
아픔,14
고속도로,14
구명,14
상자,14
경의,14
한겨울,14
행운,14
학습,14
유래,14
모델,14
직행,14
철새,14
외출,14
광산,14
바깥,14
대의,14
집중,14
인심,14
진정,14
화관,14
금은,14
귀족,14
자락,14
최고봉,14
서쪽,14
관찰,14
관측,14
허용,14
체인,14
도시락,13
풍습,13
상영,13
한식,13
강문,13
청소,13
갓,13
주중,13
호기심,13
구명조끼,13
심곡항,13
둘레,13
바베큐,13
아래쪽,13
유감,13
원주시,13
전세,13
호랑이,13
첫날,13
국도,13
비밀,13
시간대,13
소음,13
경이,13
현금,13
차지,13
제작,13
인력,13
수려,13
이구,13
의상,13
의사,13
가을동화,13
순환,13
낙원,13
골프장,13
투숙,13
회전,13
종교,13
유일,13
빈,13
정기,13
미소,13
선로,13
생,13
노동,13
비빔밥,13
북,13
소스,13
방갈로,13
지붕,13
선선,13
중심지,13
장터,13
배추,13
열대,13
출입,13
보수,13
보석,13
요구,13
도하,13
오토바이,13
초등학교,13
기반,13
혼란,13
돼지,13
입력,13
기지,13
잠,13
방목,13
왕국,13
작성,13
발명품,13
완비,13
볼링장,13
다양성,13
공작,13
코로나,13
상인,13
우편,13
추정,13
번성,13
우주,13
봉포,13
명상,13
할머니,13
지퍼,13
상류,12
작동,12
수평,12
횟감,12
미끄럼틀,12
상단,12
사회,12
서양,12
